full_text,case_folding CPMK2,preprocessing CPMK3,label
yeay naik secret elshark gran maja 1/4m pulau baru fish mari pulang marilah pulang https //t.co/qddy9ztbdz https //t.co/oezdufuj8a,yeay naik secret elshark gran maja 1/4m pulau baru fish mari pulang marilah pulang https //t.co/qddy9ztbdz https //t.co/oezdufuj8a,yeay secret elshark gran maja pulau pulang mari pulang qddy ztbdz oezdufuj,positive
semenjak kenal fish aku melupakan gunung,semenjak kenal fish aku melupakan gunung,semenjak kenal lupa gunung,negative
baru banget aku main fish semalam langsung kebawa mimpi bjil,baru banget aku main fish semalam langsung kebawa mimpi bjil,main malam langsung bawa mimpi,negative
mending mancing fish,mending mancing fish,pancing,positive
dunia ini sudah gila kayanya ditiktok gue nyari kraken mythology sea creatures yang muncul kraken fish paling atas,dunia ini sudah gila kayanya ditiktok gue nyari kraken mythology sea creatures yang muncul kraken fish paling atas,dunia gila kaya ditiktok cari kraken mythology sea creatures muncul kraken,negative
temen2 roblox kalian lebih suka pake yang seperti bagaimana buat mancing fish lucu-lucu gemas atau yang aura gelap gitu wkwkkw https //t.co/goqfbddbk0,temen2 roblox kalian lebih suka pake yang seperti bagaimana buat mancing fish lucu-lucu gemas atau yang aura gelap gitu wkwkkw https //t.co/goqfbddbk0,teman roblox suka pakai pancing lucu lucu gemas aura gelap wkwkkw goqfbddbk,positive
gue aja langsung nanya grub yang isinya temen main bareng fish sakit kaget dan sakit hatinya https //t.co/8ubhhqabr,gue aja langsung nanya grub yang isinya temen main bareng fish sakit kaget dan sakit hatinya https //t.co/8ubhhqabr,langsung group isi teman main bareng sakit kaget sakit hati ubhhqabr,negative
pancingan fish yang baru ini roblox kalian sudah dpt belum https //t.co/8wxs4ebcuy,pancingan fish yang baru ini roblox kalian sudah dpt belum https //t.co/8wxs4ebcuy,pancing roblox wxs ebcuy,positive
jujur aga keganggu dikit karna rill nunggu notif ikan kalau sibuk gitu scrolnya jadi jauh tapi masih biasa kalau gitu kalau chatnya sudah mami papi fish gue sudah benci banget lapak macing mami papi kalau kinyis kinyiss gapapa lah ini mami papi anjing jijik,jujur aga keganggu dikit karna rill nunggu notif ikan kalau sibuk gitu scrolnya jadi jauh tapi masih biasa kalau gitu kalau chatnya sudah mami papi fish gue sudah benci banget lapak macing mami papi kalau kinyis kinyiss gapapa lah ini mami papi anjing jijik,jujur aga ganggu dikit real nunggu notif sibuk scrolnya chatnya mami papi benci lapak macing mami papi kinclong kinyiss gapapa mami papi jijik,negative
cari info cek sosial medianya fish ajaa sender kalau denger katanya katanya mah suka pada boong nggak bisa,cari info cek sosial medianya fish ajaa sender kalau denger katanya katanya mah suka pada boong nggak bisa,cari informasi cek sosial media denger suka boong,positive
yeagerisr jgn main fish saf nnti stres,yeagerisr jgn main fish saf nnti stres,yeagerisr main saf nnti stres,negative
drincking btw cara mancingnya bagaimana aku main fish bengong doang,drincking btw cara mancingnya bagaimana aku main fish bengong doang,drincking mancingnya main bengong,positive
pada afk fish,pada afk fish,away from keyboard,neutral
roblox gais sender sekarang kalau tiap pagi suka afk fish kira kira pulau apa sender harus afk buat menabung koin,roblox gais sender sekarang kalau tiap pagi suka afk fish kira kira pulau apa sender harus afk buat menabung koin,roblox gais pagi suka away from keyboard pulau away from keyboard tabung koin,positive
trade fish sudah bisa guys roblox,trade fish sudah bisa guys roblox,trade roblox,neutral
anjing niat hati menginap semaleman fish tapi malah leavs karena koneksi emang babi,anjing niat hati menginap semaleman fish tapi malah leavs karena koneksi emang babi,niat hati inap maleman leave koneksi babi,negative
user fish biasanya gitu 100 koneksi karena tiap ganti server selalu add all buat nambahin luck,user fish biasanya gitu 100 koneksi karena tiap ganti server selalu add all buat nambahin luck,user koneksi ganti server add all tambah luck,positive
roblox akhirnya fish sudah bisa trade,roblox akhirnya fish sudah bisa trade,roblox trade,positive
bisa bisanya anjing gweh lagi main fish malah ketiduran,bisa bisanya anjing gweh lagi main fish malah ketiduran,bisa gweh main tidur,negative
ayo mutual roblox fish biar lucknya sama-sama nambah drop user tolong atau yang ada komunitas perkumpulan pejuang fish,ayo mutual roblox fish biar lucknya sama-sama nambah drop user tolong atau yang ada komunitas perkumpulan pejuang fish,mutual roblox lucknya nambah drop user komunitas kumpul juang,positive
roblox cuma mau info guys trade fish sudah bisa guys uhuy,roblox cuma mau info guys trade fish sudah bisa guys uhuy,roblox informasi trade senang,neutral
yaallah semoga orang2 yang somnong ikan fish akunnya banned selamanya aamiin,yaallah semoga orang2 yang somnong ikan fish akunnya banned selamanya aamiin,yaallah orang sombong akun banned aamiin,negative
semua device error karna fish ini mah,semua device error karna fish ini mah,device error,positive
bunyi suara token aja diotak gue kaya bunyi lagi dpt ikan fish,bunyi suara token aja diotak gue kaya bunyi lagi dpt ikan fish,bunyi suara token otak kaya bunyi,negative
rikippan anjing orang pada demam fish,rikippan anjing orang pada demam fish,rikippan orang demam,negative
peanutbeck bro lebih milih fish dibanding mengerjakan uts,peanutbeck bro lebih milih fish dibanding mengerjakan uts,peanutbeck milih banding uts,negative
adt_game assalamualaikum bang sht amp sukses sllu ini bng secret prtma main fish rsanya well banget awal nya tidak nyangka bakal dapat secret sebesar ini dan ktnya susah bru bbrpa tapi random berpihak dan pertama dapatin secret akhirnya sampai sekarang kcnduan mancing ternyta ssru ini https //t.co/4ooyhwi8dj,adt_game assalamualaikum bang sht amp sukses sllu ini bng secret prtma main fish rsanya well banget awal nya tidak nyangka bakal dapat secret sebesar ini dan ktnya susah bru bbrpa tapi random berpihak dan pertama dapatin secret akhirnya sampai sekarang kcnduan mancing ternyta ssru ini https //t.co/4ooyhwi8dj,adt game assalamualaikum shit sukses bng secret main senang nyangka secret susah random pihak dapatin secret candu pancing seru ooyhwi,positive
moanamenfess kai kalau mau main fish nanti aku kasih secret,moanamenfess kai kalau mau main fish nanti aku kasih secret,moanamenfess kai main secret,positive
xomingdown kalau fish uda dapet ikan sepulau,xomingdown kalau fish uda dapet ikan sepulau,xomingdown pulau,positive
pusing gue sudah fish update disuruh mikir ginian yang lebih tidak penting kotoran lah,pusing gue sudah fish update disuruh mikir ginian yang lebih tidak penting kotoran lah,pusing update suruh mikir kotor,negative
kangen fish,kangen fish,kangen,positive
gue sudah tidak main fish tapi gue isinya masih fish mulu shibaal,gue sudah tidak main fish tapi gue isinya masih fish mulu shibaal,main isi sial,negative
capekk banget dahlah sudah gamood main fish lagi fagh talon,capekk banget dahlah sudah gamood main fish lagi fagh talon,capekk dah gamau main fuck talon,negative
sumpah aku isinya fish krna sinta anjing,sumpah aku isinya fish krna sinta anjing,sumpah isi sinta,negative
aku sudah hapus banyak koneksi banyak lagi grgr main fish https //t.co/7vf3eyxxy8,aku sudah hapus banyak koneksi banyak lagi grgr main fish https //t.co/7vf3eyxxy8,hapus koneksi gara-gara main eyxxy,negative
ancient jungle fish ini susah banget,ancient jungle fish ini susah banget,ancient jungle susah,negative
tidak ada yang bilang kalau fish senagih ini,tidak ada yang bilang kalau fish senagih ini,bilang se-nagih,positive
lama lama meledakk anjing gara gara fish doang babi,lama lama meledakk anjing gara gara fish doang babi,ledak babi,negative
fish bikin gue lupa kalau gue punya crush anjing,fish bikin gue lupa kalau gue punya crush anjing,lupa crush,negative
contoh kalau lagi rajin mancing fish bisa afk berhari-hari tapi kalau lagi males pasti roblox kesentuh pun engga,contoh kalau lagi rajin mancing fish bisa afk berhari-hari tapi kalau lagi males pasti roblox kesentuh pun engga,contoh rajin pancing away from keyboard hari malas roblox sentuh,neutral
hangout gunung with warga lokal fish https //t.co/by0kiosdft,hangout gunung with warga lokal fish https //t.co/by0kiosdft,hangout gunung with warga lokal kiosdft,positive
kenapa orang orang beruntung main fish,kenapa orang orang beruntung main fish,orang orang untung main,neutral
korban mancing gila fish https //t.co/lfbk8hxddw,korban mancing gila fish https //t.co/lfbk8hxddw,korban pancing gila lfbk hxddw,negative
indopopbase ada game fish roblox napa kamu malah narkoboy,indopopbase ada game fish roblox napa kamu malah narkoboy,indo pop base game roblox napa narkoba,positive
fish brsm pisang letjungcook7x tidak ada yang bnr bcs riweuh bulak-balik pulau https //t.co/0gxyagbhfz,fish brsm pisang letjungcook7x tidak ada yang bnr bcs riweuh bulak-balik pulau https //t.co/0gxyagbhfz,pisang lee jungkook ribet bolak pulau gxyagbhfz,negative
opang202 fish afk gaa,opang202 fish afk gaa,opang away from keyboard,neutral
cung yang kerja sambil afk fish,cung yang kerja sambil afk fish,cung kerja away from keyboard,neutral
anjing pada mending diem gausa banding sama ucup org punya limitnya masing-masing dan inilah limitku fish astaghfirullah,anjing pada mending diem gausa banding sama ucup org punya limitnya masing-masing dan inilah limitku fish astaghfirullah,diam tidak usah banding ucup orang limit limit astaghfirullah,negative
main fish malah pusing,main fish malah pusing,main pusing,negative
fish game gila mending gue belajar main,fish game gila mending gue belajar main,game gila ajar main,negative
gue kan niatnya mau pensiun menjadi nelayan fish tapi tiap buka tiktok isinya orang mancingg semuaa owhsyit deymm,gue kan niatnya mau pensiun menjadi nelayan fish tapi tiap buka tiktok isinya orang mancingg semuaa owhsyit deymm,niat pensiun nelayan buka tiktok isi orang mancingg semuaa owhsyit deymm,negative
warga fish pada ramah semua bahkan yang cowo tidak ada yang aneh-aneh kadang ngelawak kalau mancing bareng jdi tidak bosen,warga fish pada ramah semua bahkan yang cowo tidak ada yang aneh-aneh kadang ngelawak kalau mancing bareng jdi tidak bosen,warga ramah cowo aneh aneh kadang ngelawak pancing bareng jdi bosen,positive
baru main fish lagi jadi asing banget anjing,baru main fish lagi jadi asing banget anjing,main asing,negative
demi ungker fish gue bau banget,demi ungker fish gue bau banget,ungker bau,negative
tergiur utk main fish tapi stres takut,tergiur utk main fish tapi stres takut,giur main stres takut,neutral
info main bareng fish lah,info main bareng fish lah,informasi main bareng,positive
selamat malam roblox ada yang tertarik buat masuk server discord tidak buat nyari temen main bareng dan segala macem anw ini server bahas game lain juga tapi mostly roblox seperti fish dan lain-lain yang minat nanti sender kirim link nya https //t.co/kr8knmxbgs,selamat malam roblox ada yang tertarik buat masuk server discord tidak buat nyari temen main bareng dan segala macem anw ini server bahas game lain juga tapi mostly roblox seperti fish dan lain-lain yang minat nanti sender kirim link nya https //t.co/kr8knmxbgs,selamat malam roblox tarik masuk server discord cari teman main bareng macem anw server bahas game mostly roblox minat kirim link knmxbgs,positive
dapetin levers fish susah banget ancritt aku baru bisa dapetin setelah afk berjam-jam,dapetin levers fish susah banget ancritt aku baru bisa dapetin setelah afk berjam-jam,dapetin levers susah ancritt dapetin away from keyboard jam jam,negative
jadi keinget tadi malem nyoba iseng iseng tinggal tidur fish lupa nyalain clicker wkakak nyesek pol,jadi keinget tadi malem nyoba iseng iseng tinggal tidur fish lupa nyalain clicker wkakak nyesek pol,keinget malem coba iseng iseng tinggal tidur lupa nyala clicker wkakak nyesek pol,negative
sunflcwerzz fish rame karena trade system yang bikin orang bisa nyari duit sana misal diilangin selesai sih,sunflcwerzz fish rame karena trade system yang bikin orang bisa nyari duit sana misal diilangin selesai sih,sunflcwerzz ramai trade system orang cari duit diilangin selesai,positive
mau main fish juga,mau main fish juga,main,positive
ikisshyeju mati itu fish muak,ikisshyeju mati itu fish muak,ikisshyeju mati muak,negative
sepertinya sudah waktunya untuk menjadi streamer fish daripada main valo,sepertinya sudah waktunya untuk menjadi streamer fish daripada main valo,streamer main valo,positive
orgil afk hari fish,orgil afk hari fish,orgil away from keyboard,negative
rill pubg uda pernah gue sentuh semenjak kenal fish,rill pubg uda pernah gue sentuh semenjak kenal fish,real pubg sentuh semenjak kenal,negative
kaisagiphile friendlist aku juga pada kena penyakit fish semua,kaisagiphile friendlist aku juga pada kena penyakit fish semua,kaisagiphile friendlist sakit,negative
sudah mulai muak main fish,sudah mulai muak main fish,muak main,negative
ftogame ngeliat kamu ngeluhin fish aja sudah ketauan tidak ada relaxing-relaxingnya itu map bay,ftogame ngeliat kamu ngeluhin fish aja sudah ketauan tidak ada relaxing-relaxingnya itu map bay,ftogame ngeliat ngeluhin tau relaxing relaxingnya map bay,negative
journtales awas aja map fish,journtales awas aja map fish,journtales awas map,negative
stop jangan tergoda login fish ya️️,stop jangan tergoda login fish ya️️,stop goda login,negative
ada tws map gunung bye fish,ada tws map gunung bye fish,tws map gunung bye,negative
baru dipake berapa lama kalau sehari berharap apa sender fish kan sistemnya random,baru dipake berapa lama kalau sehari berharap apa sender fish kan sistemnya random,dipake hari harap sistem random,positive
gue sudah gila fish banget,gue sudah gila fish banget,gila,negative
kecintaan sama fish https //t.co/ezfph7nfm1,kecintaan sama fish https //t.co/ezfph7nfm1,cinta ezfph nfm,positive
bodoh banget afk fish nyampe tidak ngeh abis batre,bodoh banget afk fish nyampe tidak ngeh abis batre,bodoh away from keyboard nyampe ngeh habis batre,negative
when secret mancing gila emang ini fish https //t.co/0pdpufndog,when secret mancing gila emang ini fish https //t.co/0pdpufndog,when secret pancing gila pdpufndog,negative
talon babi ini game namanya fish babi bukan batu rock dan lain lainkau gila aja mancing batu mancing secret gue disini selama sehari lebih jam sial https //t.co/9fiy6jhylt,talon babi ini game namanya fish babi bukan batu rock dan lain lainkau gila aja mancing batu mancing secret gue disini selama sehari lebih jam sial https //t.co/9fiy6jhylt,talon babi game nama babi batu rock lainkau gila pancing batu pancing secret hari jam sial fiy jhylt,negative
roblox ada yang mau join serfer dece buat main bareng sama fish sering yapping kita welcome banget new memberr reply kalau minat,roblox ada yang mau join serfer dece buat main bareng sama fish sering yapping kita welcome banget new memberr reply kalau minat,roblox join serfer discord main bareng yapping welcome new member reply minat,positive
ofheartloom hel0verse gapapa fish tidak beruntung semoga sini beruntung,ofheartloom hel0verse gapapa fish tidak beruntung semoga sini beruntung,ofheartloom hel verse gapapa untung untung,neutral
psikis anak fish sudah kenaa,psikis anak fish sudah kenaa,psikis anak kenaa,negative
sial gue trauma ama suara pancingan fish,sial gue trauma ama suara pancingan fish,sial trauma ama suara pancing,negative
pomppurlin memang susaah jika fish ayi mau digimanain pun juga sistemnya random memang harus mengandalkan beruntung,pomppurlin memang susaah jika fish ayi mau digimanain pun juga sistemnya random memang harus mengandalkan beruntung,pomppurlin susaah ayi digimanain sistem random andal untung,neutral
namanyajugalea hpus aja fish,namanyajugalea hpus aja fish,namanyajugalea hpus,negative
ini fish kapan ngeluarin setruman pengen gue setrum aja ini lost isle sudah gapercaya gue sama pancingan anjj,ini fish kapan ngeluarin setruman pengen gue setrum aja ini lost isle sudah gapercaya gue sama pancingan anjj,ngeluarin setrum ken setrum lost isle gapercaya pancing anjj,negative
main mancing alias fish fish itu bukannya relax malah stres gitu mana tidak naik-naik itu secret huh semenjak kenal fish jadi makin iri dengkii =__=,main mancing alias fish fish itu bukannya relax malah stres gitu mana tidak naik-naik itu secret huh semenjak kenal fish jadi makin iri dengkii =__=,main pancing alias relax stres secret huh semenjak kenal iri dengki,negative
roblox sudah stres mancing fish sender beralih mancing gunung aja https //t.co/pdbufdwhqu,roblox sudah stres mancing fish sender beralih mancing gunung aja https //t.co/pdbufdwhqu,roblox stres pancing alih pancing gunung pdbufdwhqu,negative
fish ini bikin gilaa ajgg rill,fish ini bikin gilaa ajgg rill,gilaa ajgg real,negative
k1ssmee__ alhamdulillah karena aku lama tidak bka fish keknya talon mulai melunak dikit,k1ssmee__ alhamdulillah karena aku lama tidak bka fish keknya talon mulai melunak dikit,ssmee alhamdulillah bka kayak talon lunak dikit,positive
ini btw adek aku fish dia emang anaknya kalem sopan dan lucu,ini btw adek aku fish dia emang anaknya kalem sopan dan lucu,adek anak kalem sopan lucu,positive
sudah mulai setres main fish kbnyakan berharap bejir,sudah mulai setres main fish kbnyakan berharap bejir,tres main kbnyakan harap bejir,negative
deltanlm jejeenz betul rela tidak summit antartika hari demi fish,deltanlm jejeenz betul rela tidak summit antartika hari demi fish,deltanlm jejeenz rela summit antartika,negative
tertawa sama sender aku korban salty fish,tertawa sama sender aku korban salty fish,tawa korban salty,negative
tidak main fish tapi kebawa bawa mimpi allah,tidak main fish tapi kebawa bawa mimpi allah,main bawa bawa mimpi allah,negative
willy_wili biasa nya grup discord fish kak,willy_wili biasa nya grup discord fish kak,willy wili grup discord,positive
sekarang kok lebih nagih main fish drpd naik gunung,sekarang kok lebih nagih main fish drpd naik gunung,nagih main drpd gunung,positive
emg mayn fish serunya bagian pamernya,emg mayn fish serunya bagian pamernya,mayn seru pamer,positive
sudah lama pensiun fish mau balik takut stres,sudah lama pensiun fish mau balik takut stres,pensiun takut stres,negative
knp disensor sender gapapa spill aja namanya lagian yang main fish kebanyakan afk kok jujur aku tidak keganggu karna ngapain baca kolom chat mancing mah mancing ajaa fokus cari ikan,knp disensor sender gapapa spill aja namanya lagian yang main fish kebanyakan afk kok jujur aku tidak keganggu karna ngapain baca kolom chat mancing mah mancing ajaa fokus cari ikan,sensor gapapa spill nama main banyak away from keyboard jujur ganggu ngapain baca kolom chat pancing pancing fokus cari,neutral
28123o txtfromroblox kamu adalah aku versi fish kak rasa ingin pensiun tapi masih penasaran dikit,28123o txtfromroblox kamu adalah aku versi fish kak rasa ingin pensiun tapi masih penasaran dikit,versi pensiun penasaran dikit,neutral
mending gue main rt3 sumpah drpd fish talon kikir,mending gue main rt3 sumpah drpd fish talon kikir,main sumpah drpd talon kikir,negative
bener kata windut kalau fish game scam,bener kata windut kalau fish game scam,bener windut game scam,negative
accretiah wkwkwkwk trauma main fish,accretiah wkwkwkwk trauma main fish,accretiah wkwkwkwk trauma main,negative
ada org nya sender yang main fish sampai bego bgitu,ada org nya sender yang main fish sampai bego bgitu,orang main bego bgitu,negative
sudah difase dikira papa lagi main judi gegara nyala buat fish pdhl lagi mandi,sudah difase dikira papa lagi main judi gegara nyala buat fish pdhl lagi mandi,fase papa main judi gara-gara nyala pdhl mandi,negative
ownbygyu main fish mah perbanyak teori bersyukur kak,ownbygyu main fish mah perbanyak teori bersyukur kak,ownbygyu main banyak teori syukur,neutral
gakuat banget gue main fish tidak cocok buat org tidak sabaran seperti gue,gakuat banget gue main fish tidak cocok buat org tidak sabaran seperti gue,gakuat main cocok orang sabar,negative
sudah tidak ada nafsunya gue main fish emang paling bener gue keliling map horror aja,sudah tidak ada nafsunya gue main fish emang paling bener gue keliling map horror aja,nafsu main bener keliling map horror,negative
allah selain stres kripshit stres fish kikir juga https //t.co/7jgyn0qac3,allah selain stres kripshit stres fish kikir juga https //t.co/7jgyn0qac3,allah stres kripshit stres kikir jgyn qac,negative
kindalikemwe main fish aja cocoknya,kindalikemwe main fish aja cocoknya,kindalikemwe main cocok,positive
sejak main fish aku menjadi pribadi yang iri dengki,sejak main fish aku menjadi pribadi yang iri dengki,main pribadi iri dengki,negative
wakakakka kan tau sendiri fish isinya org2 kurang waras besok lagi kalau ketemu yang sensi begitu kamu becandain lagi aja sender,wakakakka kan tau sendiri fish isinya org2 kurang waras besok lagi kalau ketemu yang sensi begitu kamu becandain lagi aja sender,wakakakka isi orang waras besok ketemu sensi becandain,neutral
orang orang lagi demam fish tertawa,orang orang lagi demam fish tertawa,orang orang demam tawa,negative
main fish stres tidak main fish sakau,main fish stres tidak main fish sakau,main stres main sakau,negative
tidak lagi nge afk tablet buat fish kotoran ngeleg banget fish gwa anjing,tidak lagi nge afk tablet buat fish kotoran ngeleg banget fish gwa anjing,nge away from keyboard tablet kotor ngeleg gwa,negative
semenjak kenal fish aku jadi orang paling iri dan dengki,semenjak kenal fish aku jadi orang paling iri dan dengki,semenjak kenal orang iri dengki,negative
fish alat kelamin,fish alat kelamin,alat kelamin,negative
